Year,"Sort
order","Major area, region, country or area of destination",0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
1990,1990001,WORLD,"2,462,323","3,149,289","3,972,642","5,044,789","6,595,495","8,061,734","8,365,448","7,783,363","6,864,412","5,633,872","4,591,612","3,850,019","3,280,282","2,507,250","1,902,606","3,390,613","77,456,347"
1990,1990002,More developed regions,"647,869","1,205,054","1,805,264","2,458,989","3,364,610","4,121,735","4,335,781","4,179,429","3,839,575","3,206,823","2,636,894","2,227,634","1,876,979","1,419,349","1,110,601","1,833,436","40,270,398"
1990,1990003,Less developed regions,"1,814,454","1,944,235","2,167,378","2,585,800","3,230,885","3,939,999","4,029,667","3,603,934","3,024,837","2,427,049","1,954,718","1,622,385","1,403,303","1,087,901","792,005","1,557,177","37,185,949"
1990,1990004,Least developed countries,"532,247","552,238","555,300","608,077","615,381","578,157","482,151","388,514","304,192","234,161","199,516","170,097","144,570","80,082","46,942","64,891","5,556,516"
1990,1990005,"Less developed regions, excluding least developed countries","1,282,705","1,392,845","1,613,056","1,978,699","2,617,110","3,364,398","3,550,261","3,217,807","2,722,577","2,194,253","1,756,318","1,453,271","1,259,680","1,008,507","745,524","1,493,010","31,650,243"
1990,1990006,High-income countries,"863,586","1,250,709","1,575,864","2,117,063","3,180,156","4,316,558","4,678,392","4,222,165","3,691,751","2,907,646","2,413,847","1,977,256","1,679,986","1,306,413","997,951","1,608,943","38,788,286"
1990,1990007,Middle-income countries,"1,194,854","1,483,492","1,971,103","2,486,616","2,958,521","3,287,930","3,273,851","3,219,793","2,902,087","2,516,780","2,006,421","1,736,253","1,491,476","1,131,882","865,656","1,725,521","34,252,236"
1990,1990008,Upper-middle-income countries,"588,639","797,857","1,125,260","1,366,313","1,594,313","1,723,269","1,661,426","1,610,241","1,427,787","1,224,452","923,868","842,213","724,744","503,571","325,819","510,503","16,950,275"
1990,1990009,Lower-middle-income countries,"606,215","685,635","845,843","1,120,303","1,364,208","1,564,661","1,612,425","1,609,552","1,474,300","1,292,328","1,082,553","894,040","766,732","628,311","539,837","1,215,018","17,301,961"
1990,1990010,Low-income countries,"397,391","403,214","410,628","427,182","444,712","442,218","396,718","325,117","257,409","199,361","163,561","131,805","105,572","66,831","37,819","54,912","4,264,450"
1990,1990011,Sub-Saharan Africa,"652,001","656,293","627,142","711,997","833,964","888,061","788,292","653,409","515,177","393,643","314,339","244,837","202,512","112,928","64,956","85,533","7,745,306"
1990,1990012,AFRICA,"686,071","688,021","658,066","749,966","887,849","951,395","851,069","709,550","560,542","428,041","339,563","263,748","217,602","122,730","71,811","93,318","8,279,564"
1990,1990013,Eastern Africa,"270,497","254,886","261,613","299,310","326,869","334,387","303,741","248,422","193,909","149,670","123,203","99,353","82,908","52,401","28,121","41,899","3,071,189"
1990,1990014,Burundi,"10,991","11,291","9,873","9,336","12,216","17,726","21,979","18,817","14,065","9,939","8,104","6,103","5,126","3,852","1,541","2,308","163,267"
1990,1990015,Comoros,247,352,446,516,577,758,821,777,630,504,401,272,185,116,47,68,"6,717"
1990,1990016,Djibouti,"3,529","4,421","6,437","8,526","9,079","8,926","6,767","4,719","2,826","2,311","2,041","1,769","1,387",669,334,501,"64,242"
1990,1990017,Eritrea,385,335,437,612,801,884,787,623,424,277,195,175,139,78,31,45,"6,228"
1990,1990018,Ethiopia,"41,272","44,185","54,443","71,389","77,813","74,627","61,129","46,834","34,803","26,075","20,367","16,729","14,741","11,439","4,576","6,862","607,284"
1990,1990019,Kenya,"9,432","11,378","14,750","22,655","17,884","17,509","14,519","11,915","9,178","7,840","6,341","5,088","4,115","3,218","2,322","2,708","160,852"
1990,1990020,Madagascar,466,500,474,663,949,890,781,767,927,"1,200","1,325","1,256",993,702,708,747,"13,348"
1990,1990021,Malawi,"76,753","65,246","59,561","64,862","58,236","51,855","41,527","32,424","24,988","17,060","15,043","12,879","10,621","3,974","2,859","8,632","546,520"
1990,1990022,Mauritius,152,183,150,94,155,142,159,144,126,98,70,64,67,63,39,57,"1,763"
1990,1990023,Mayotte,455,440,577,839,"1,135","1,252","1,136",926,636,290,335,309,270,92,34,54,"8,780"
1990,1990024,Mozambique,"8,931","6,591","4,740","8,828","15,066","5,496","3,319","3,082","2,345","2,201","1,719","1,330",905,674,363,470,"66,060"
1990,1990025,Réunion,"1,145","2,669","3,483","2,698","1,959","2,833","3,133","3,236","2,473","2,111","1,887","1,270",698,437,269,423,"30,724"
1990,1990026,Rwanda,"4,203","4,454","4,755","6,135","9,282","11,348","10,919","8,928","6,123","4,109","2,900","2,059","1,890","1,440","1,122","1,023","80,690"
1990,1990027,Seychelles,96,96,92,74,152,272,349,319,235,157,115,99,63,40,24,21,"2,204"
1990,1990028,Somalia,"43,174","30,500","22,053","15,762","16,738","22,087","23,377","22,573","17,158","11,154","8,040","4,535","3,918","1,273",908,951,"244,201"
1990,1990029,South Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1990,1990030,Uganda,"23,546","21,801","21,912","22,704","25,407","27,412","26,208","23,523","20,136","18,015","15,423","14,065","11,184","8,255","4,190","6,303","290,084"
1990,1990031,United Republic of Tanzania,"20,588","21,591","23,466","24,875","27,391","28,738","27,453","22,431","17,619","14,543","13,144","11,913","10,653","7,991","5,358","5,636","283,390"
1990,1990032,Zambia,"9,966","11,139","12,837","14,065","14,810","14,548","13,269","11,217","9,440","8,185","7,087","5,879","4,143","2,912","1,326","1,984","142,807"
